revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_3a1b058_58308ad/rev_3a1b058-58308ad.revisions;127;114;0;114;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7dab40e_584610b/rev_7dab40e-584610b.revisions;379;302;0;302;0;77;77;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_6e4bc80_cae1702/rev_6e4bc80-cae1702.revisions;128;115;0;115;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_63ee31a_999cbdd/rev_63ee31a-999cbdd.revisions;379;302;0;302;0;77;77;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_9cf28b8_991e49a/rev_9cf28b8-991e49a.revisions;127;114;0;114;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_aea5951_aacfd85/rev_aea5951-aacfd85.revisions;417;340;0;340;0;77;77;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_85e81d3_98a8b9b/rev_85e81d3-98a8b9b.revisions;127;114;0;114;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_2242d59_f60bc0c/rev_2242d59-f60bc0c.revisions;435;340;0;340;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_348190c_69310f5/rev_348190c-69310f5.revisions;132;117;0;117;0;15;12;0;3;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_d4c9bdc_33431be/rev_d4c9bdc-33431be.revisions;462;367;0;367;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_69310f5_757a49f/rev_69310f5-757a49f.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_444c5bd_d6da68e/rev_444c5bd-d6da68e.revisions;462;367;0;367;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_309a294_cc40d08/rev_309a294-cc40d08.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_765c77b_d2f8c85/rev_765c77b-d2f8c85.revisions;462;367;0;367;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_fba0294_2f372bd/rev_fba0294-2f372bd.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_e12688b_9051a84/rev_e12688b-9051a84.revisions;462;367;0;367;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_7569c33_b230256/rev_7569c33-b230256.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_63d34b9_c4032a5/rev_63d34b9-c4032a5.revisions;462;367;0;367;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_3e51c6f_a7b140f/rev_3e51c6f-a7b140f.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_216e08c_a3ad68d/rev_216e08c-a3ad68d.revisions;462;367;0;367;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_035fe26_4143472/rev_035fe26-4143472.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_d4a214a_4ef9f96/rev_d4a214a-4ef9f96.revisions;445;368;0;368;0;77;77;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_31d8d03_7152df8/rev_31d8d03-7152df8.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5ecc98b_460c7ba/rev_5ecc98b-460c7ba.revisions;463;368;0;368;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_efef761_46903e6/rev_efef761-46903e6.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_62465c2_a992d98/rev_62465c2-a992d98.revisions;463;368;0;368;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_ef1eb11_39a8f8c/rev_ef1eb11-39a8f8c.revisions;126;113;0;113;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_156b436_c27ee01/rev_156b436-c27ee01.revisions;492;397;0;397;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_61e6a51_ef02d8a/rev_61e6a51-ef02d8a.revisions;129;116;0;116;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_1db668a_b416169/rev_1db668a-b416169.revisions;535;440;0;440;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_b307c03_5b1018c/rev_b307c03-5b1018c.revisions;133;118;0;118;0;15;15;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_21e144a_d9e9383/rev_21e144a-d9e9383.revisions;535;440;0;440;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_ae3ebfb_4161539/rev_ae3ebfb-4161539.revisions;131;116;0;116;0;15;15;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_6b4f6e7_994c20a/rev_6b4f6e7-994c20a.revisions;535;440;0;440;0;95;95;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_c496e20_0432f13/rev_c496e20-0432f13.revisions;131;116;0;116;0;15;15;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_f4cbd7e_aab19b4/rev_f4cbd7e-aab19b4.revisions;545;449;0;449;0;96;96;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_6d30e6e_51ea74d/rev_6d30e6e-51ea74d.revisions;132;117;0;117;0;15;15;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5452d7e_be926c8/rev_5452d7e-be926c8.revisions;550;449;0;449;0;101;101;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_cd11cce_e496788/rev_cd11cce-e496788.revisions;135;118;0;118;0;17;17;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_0dca2c7_1ae1bc6/rev_0dca2c7-1ae1bc6.revisions;647;509;0;509;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_3444d73_b12cd92/rev_3444d73-b12cd92.revisions;136;118;0;118;0;18;18;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_01ee422_02e1d8d/rev_01ee422-02e1d8d.revisions;647;509;0;509;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_d94c6ae_1b76586/rev_d94c6ae-1b76586.revisions;136;118;0;118;0;18;18;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_b82cff2_5eee9f0/rev_b82cff2-5eee9f0.revisions;647;509;0;509;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_75d5c3f_080dcef/rev_75d5c3f-080dcef.revisions;135;122;0;122;0;13;13;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_30db009_a5d9c82/rev_30db009-a5d9c82.revisions;647;509;0;509;0;138;138;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_75d5c3f_68b8951/rev_75d5c3f-68b8951.revisions;136;118;0;118;0;18;18;0;0;0;0;0;0
